// renk_olc.py --oner çıktısı — aktarımdan SONRA:
//   py arac/renk_olc.py --dogrula oneri-20260903-230609.txt
abenaki #245ad2
adamava #2484d2
adar #24d296
alutiiq #242ad2
antandroy #2430d2
antemoro #2472d2
aro-konfederasyonu #24aed2
bagirmi #24d224
bambara #248ad2
bamum #8a24d2
banda-gbaya #24d25a
basuto #2436d2
bate #2448d2
bemba #247ed2
beothuk #24ccd2
berabis #2a24d2
betsileo #249cd2
betsimisaraka #24d22a
birom-plato #d23624
borgu #d29c24
buna #2ad224
bundu #24b4d2
bunyoro #30d224
burundi #3024d2
cikasav #d2246c
colof #24d260
dagbon #c0249c
damagaram #24d2cc
dan-guro #d23c24
darul-kuti #c6d224
dene #2454d2
etowah #2496d2
eve-notse #72a224
fipa-nyakyusa #24a8d2
futa-callon #24d29c
futa-toro #7824d2
gambiya-mandinka #72d224
gonja #8454de
griqua #2460d2
gurma #de546c
gyaaman #1e9c84
hayda #24d230
hehe #24d266
herero #24bad2
hidatsa #24d242
ibadan #1e9642
inuit #24d236
jukun-kvararafa #2424a2
kalusa #24d26c
kamba #ae24d2
kanada #24d2c6
kanem-tubu #c62aa2
kaonde-ila #c0d224
karagve #d224a2
karga #24d2d2
kasance #24d23c
kayor #d22472
kazembe #d29024
kenedugu #ea1818
kenya-kuzey-halklari #ccd224
klamath #3624d2
kong-vattara #967224
kri #3c24d2
kru-grebo #249c48
lakota #d22478
liberya #d2de60
liptako #d860ae
lozi #24d2a2
maliseet #24a2d2
mandan #d224ae
mangbetu #d29624
manica #d224c0
maravi #24d248
matabele #24d24e
matamba #4224d2
merina-oncesi #24d27e
meskalero-apaci #24d254
metis #78d224
miami #7ed224
mikmak #9024d2
mohave #b4d224
moritanya-emirlikleri #d26624
mossi-vagadugu #8a1e4e
moundville #2466d2
nama-orlam #d224c6
navaho #d2a224
nez-perce #d24224
ngonde #722aba
ngoni #cc3024
nijer-deltasi #d224d2
nkore #24deae
nuu-cah-nulth #d2247e
nuxalk #24d272
nyamvezi #de486c
occaneechi #d224a8
ojibwe #d26c24
ovambo #d24824
ovimbundu #8a1ede
pavni #de1e1e
payut #d27224
pedi #d27824
ponka #d8485a
rozvi #1ede1e
ruanda #78a21e
sahaptin #2484cc
sakalava-boina #d22484
sakalava-menabe #9c24de
sauk #24a842
savni #6624a8
secwepemc #d2a824
sine-salum #cca224
solima-yalunka #5a78d8
sosoni #7224ae
spiro #24cc90
svazi #24a2cc
tio #24a896
tiv #ded866
tlingit #84d224
toro #a82472
torva #d2248a
tsvana #d84272
tuareg-accer #d24e24
tuareg-adag #8a24d8
tuareg-ahaggar #24cc5a
tuareg-air #1e6c84
tuareg-ivellemmedan #4812ea
tubu-tibesti #8424d2
ute #1ee41e
vaday #24d290
valo #b4249c
vasulu #248acc
venda #301ee4
vendat #d824de
wicita #6ca224
xhosa #24d284
yao #9c421e
yatenga #84e472
yavapai #d22490
yeke #1ea296
yupik #24d278
zende #cc3624
zerma #6c1290
zuni #1e78c0
