// renk_olc.py --oner çıktısı — aktarımdan SONRA:
//   py arac/renk_olc.py --dogrula oneri-20260903-221115.txt
abenaki #245ad2
adamava #2484d2
adar #248ad2
aleut #242ad2
alutiiq #24ccd2
antandroy #2430d2
antemoro #2472d2
aro-konfederasyonu #24b4d2
arua #2436d2
avusturya-cumhuriyet #243cd2
bagirmi #24aed2
bambara #24d224
bamum #24d296
banda-gbaya #24d22a
basuto #2442d2
bate #2448d2
bemba #249cd2
beothuk #24d230
berabis #24d29c
betsileo #24d236
betsimisaraka #24d26c
birom-plato #8a24d2
bohemya #244ed2
borgu #d23624
bosna-isgal #2454d2
buna #d224a2
bundu #2a24d2
bunyoro #ae24d2
burundi #c0d224
cezayir-fransiz #2460d2
cezayir-ocagi #2466d2
charrua #246cd2
cikasav #d2246c
colof #24d260
dagbon #d29c24
damagaram #d224d8
dan-guro #72a224
darul-kuti #24d2cc
dene #24d266
dubrovnik #247ed2
erdel #2496d2
etowah #24a2d2
eve-notse #8454de
fipa-nyakyusa #d224a8
fransiz-misir-seferi #24a8d2
futa-callon #d26024
futa-toro #72d224
gambiya-mandinka #d82a72
garbi-trakya #24bad2
girit-devleti #24c0d2
gonja #de546c
griqua #24d23c
guarani-misyonlari #24c6d2
gurma #1e9c84
gyaaman #249c48
hayda #24d2a2
hehe #24d242
herero #24d272
hersek #24d248
hidatsa #d224ae
ibadan #d85aba
inuit #78d224
jin-hanedani #24d24e
jukun-kvararafa #967224
kalusa #d26c24
kamba #d27e24
kanada #24d2c6
kanem-tubu #24cc5a
kaonde-ila #d2a824
karagve #d8302a
karga #d23c24
kasance #3024d2
kasim #24d254
kayor #5a78d8
kazembe #6624d8
kenedugu #ded866
kenya-kuzey-halklari #36a224
kibris-ingiliz #24d25a
klamath #c6d224
kong-vattara #841890
kri #d29624
kru-grebo #d25ae4
kuveyt #24d278
lakota #6624b4
liberya #1e728a
liptako #8a1e4e
lozi #24d2a8
maliseet #a82ad8
mandan #2466a8
mangbetu #b424d2
manica #ccd224
maravi #d22472
matabele #4224d2
matamba #7e24d2
merina-oncesi #7824a8
meskalero-apaci #de4e66
metis #d26624
miami #30a21e
mikmak #5a1ee4
mogol-imparatorlugu #24d284
mohave #7ea824
mora-despotlugu #24d27e
moritanya-emirlikleri #4212ea
mossi-vagadugu #ea1218
moundville #e41ede
naksa-dukaligi #24d2b4
nama-orlam #d224c0
navaho #d854b4
nez-perce #1e9648
ngonde #24b4ba
ngoni #d84272
nijer-deltasi #30188a
nkore #7ea21e
nuu-cah-nulth #1e967e
nuxalk #d8d25a
nyamvezi #6c5ad8
occaneechi #ea1818
ojibwe #7860d8
oniki-ada-italyan #24d28a
ovambo #d24224
ovimbundu #d29024
pavni #902454
payut #903c1e
pedi #9024d2
polonya-erken #24d290
ponka #241e8a
rabih #7ed224
ranquel #2ad224
rozvi #d27824
ruanda #ea1eea
sahaptin #906c24
sakalava-boina #9c3c1e
sakalava-menabe #249c54
sarki-rumeli #24d2ae
sauk #e47e6c
savni #84e46c
secwepemc #12ea12
sine-salum #249c12
solima-yalunka #84e472
song #24d2ba
sosoni #c060ea
spiro #66f012
svazi #2472cc
tbmm-turkiye #24d2c0
tio #cc24a2
tiv #12f012
tlingit #b4f012
toro #1ee41e
torva #30d224
trablusgarp-ocagi #24d2d2
tsvana #249ccc
tuareg-accer #4824d2
tuareg-adag #72e4d2
tuareg-ahaggar #d22478
tuareg-air #12f0ea
tuareg-ivellemmedan #9612f0
tubu-tibesti #e41e24
tunus-ocagi #36d224
ute #f0ba12
vaday #c0662a
valo #aef012
vasulu #d2d224
venda #24cca2
vendat #1e6c7e
wicita #78dec0
xhosa #de4272
yao #7e24a8
yatenga #60ea0c
yavapai #7e187e
yeke #d2ba24
yupik #7890ea
zende #cce424
zerma #7ebae4
zeta #3624d2
zuni #e47eae
